Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
2701,1697207917,984136979,0.8707416718467067,-0.12626705391816392,-0.11207061705303015,-0.02575189096658961,0.9973662282630279,0.05588026556770467,0.03840368149161461,5.853658676147461,0.0,-0.8191457407308109,0.6661311571392409,1.1731118075353701,-0.15531555477339815,0.986349646610321,1.2018739473082216,-0.19136410328870537
2713,1697207917,993795390,0.870750124704737,-0.1258954787579449,-0.11216638191168343,-0.026288467323562617,0.997360652797718,0.05570923735584893,0.03843339186069303,5.853658676147461,0.0,-0.8191457407308109,0.6661311571392409,1.1731118075353701,-0.15531555477339815,0.986349646610321,1.2018739473082216,-0.19136410328870537
2728,1697207918,14318750,0.8702733186409153,-0.12362169184664663,-0.11336181911851476,-0.027307202543584663,0.9973246981737733,0.055878640878662726,0.03841016265767869,5.853658676147461,0.0,-0.8191457407308109,0.6661311571392409,1.1731118075353701,-0.15531555477339815,0.986349646610321,1.2018739473082216,-0.19136410328870537
2740,1697207918,23588997,0.8695723890070641,-0.12364949362629211,-0.11402939513605992,-0.027241009201772644,0.9973685752210794,0.05557605614189623,0.03775121935588446,5.853658676147461,0.0,-0.8191457407308109,0.6653641667452982,1.177330254702055,-0.15224759319762732,0.9867331418072924,1.1991894809294221,-0.19059711289476267
2753,1697207918,33852643,0.8699599314543103,-0.12285308585257847,-0.11451293156852507,-0.027666434634234634,0.9973340777680191,0.05545651656952989,0.03852116933866442,5.853658676147461,0.0,-0.8191457407308109,0.6653641667452982,1.177330254702055,-0.15224759319762732,0.9867331418072924,1.1991894809294221,-0.19059711289476267
2765,1697207918,43668217,0.8693119694367204,-0.12282780775420384,-0.11623864136304961,-0.027394040489201084,0.9973873078130518,0.05485620133470504,0.03819583660865546,5.853658676147461,0.0,-0.8191457407308109,0.6653641667452982,1.177330254702055,-0.15224759319762732,0.9867331418072924,1.1991894809294221,-0.19059711289476267
2778,1697207918,63277514,0.8692873348363694,-0.12113588258236288,-0.11714582573673132,-0.028944237946370716,0.9973628848958609,0.05404631974792481,0.03883944185508807,5.853658676147461,0.0,-0.8183787503368682,0.6668981475331837,1.1811652066717686,-0.14956312681882783,0.9855826562163783,1.193437052974852,-0.19059711289476267
2790,1697207918,73513701,0.8694776458599704,-0.12120985116288867,-0.11757056779441521,-0.02894363520622493,0.9973666421927222,0.05368331942150063,0.03924472242420433,5.853658676147461,0.0,-0.8183787503368682,0.6668981475331837,1.1811652066717686,-0.14956312681882783,0.9855826562163783,1.193437052974852,-0.19059711289476267
2806,1697207918,83687922,0.8693321975328017,-0.12180452567410917,-0.11807030001615429,-0.02895742154225674,0.9974014265194397,0.05315436655530746,0.039070134767041305,5.853658676147461,0.0,-0.8183787503368682,0.6668981475331837,1.1811652066717686,-0.14956312681882783,0.9855826562163783,1.193437052974852,-0.19059711289476267
2819,1697207918,103414984,0.8684746018004843,-0.12079201569537848,-0.1195770823494569,-0.029657227697258277,0.9974061781479675,0.05305966705186945,0.03854914227220639,5.853658676147461,0.0,-0.8191457407308109,0.6680486331240977,1.1846166634445108,-0.14534467965214296,0.985199161019407,1.190369091399081,-0.18983012250081996
2832,1697207918,113558192,0.8676072494911337,-0.12058802493692904,-0.12033294938638342,-0.030135627470380143,0.997431479931213,0.05288057006633995,0.03776151623883344,5.853658676147461,0.0,-0.8191457407308109,0.6680486331240977,1.1846166634445108,-0.14534467965214296,0.985199161019407,1.190369091399081,-0.18983012250081996
